"maintenance_no","maintenance_type","sick_mark_source","wagon_no","wagon_type","wagon_owner","consist","from_yard","booked_to","work_center_id","line_id","unfit_memo_date","fit_unfit_date","arrival_date","wagon_stage_id","defects_appended","parameter_recording_start","total_operation","operation_allocated","operation_confirmed","assembly_installed_qty","assembly_dismantled_qty","teco_date","dispatched_date","call_memo_no","new_maintenance_no","discarded_date","last_updated_date","loaded_empty","repair_type","wagon_id","wagon_current_status","remarks_user","remarks_system","user_confirmation_flag","create_user","create_timestamp","fit_unfit_memo_no","local_pass_reason","roh_stn","roh_date","poh_stn","poh_date","poh_return_date","warranty_claimed","platform","updated_by","img_url","ineffective_reason_dk","ineffective_reason_remarks","ineffective_start_time","ineffective_end_time","pro_img_url","tag1_rewrite_status","tag2_rewrite_status","misc_params","ineffective_pl_list"
10017281171,ROH,"3","22160972003",BOXNHL,WCR,,ADRA,BKSCFD,BKSCEMPRH,,2026-04-08 00:00:00.000,,2026-04-08 00:00:00.000,YARD_UNFIT,,,,,,,,,,,,,2026-04-09 16:59:38.535,E,,1424754,K,ROH OVERDUE,,,"9547983686",2026-04-09 16:59:38.535,,,MGSDRYRH,2023-06-30,DHDW,2024-08-27,2029-04-30,,NA,,,,,,,,,,"",{}
10017282598,ROH,Y,"21120956916",BOSTHS,ECoR,,TNPM,TNPMFD,TNPMRH,,2026-04-09 20:00:11.504,,,YARD_UNFIT,,,,,,,,,,,,,2026-04-09 20:00:11.504,,,1686292,,,,,"9832291742",2026-04-09 20:00:11.504,,,BNDMCSLRH,2024-09-14,WRSW,2023-01-27,2027-09-30,,NA,,,,,,,,,,"",{}
10017282838,ROH,Y,"22122413667",BOXNHL,ECoR,,KRCA,KRCAFD,KRCARH,,2026-04-09 20:42:54.869,,,YARD_UNFIT,,,,,,,,,,,,,2026-04-09 20:42:54.869,,,12589556,,,,,"9724091434",2026-04-09 20:42:54.869,,,"",,"",,2030-03-31,,NA,,,,,,,,,,"",{}
10017282839,ROH,Y,"22122413698",BOXNHL,ECoR,,KRCA,KRCAFD,KRCARH,,2026-04-09 20:42:54.869,,,YARD_UNFIT,,,,,,,,,,,,,2026-04-09 20:42:54.869,,,12589559,,,,,"9724091434",2026-04-09 20:42:54.869,,,"",,"",,2030-03-31,,NA,,,,,,,,,,"",{}
10016380310,ROH,Y,"22082017202",BOXNHL,WR,,PPY_BIA,BMYREPFD,BMYRH,,2026-01-09 13:35:53.466,,,YARD_UNFIT,,,,,,,,,,,,,2026-01-09 13:35:53.466,,,3811793,,,,,"9752445529",2026-01-09 13:35:53.466,,,RMUYRH,2024-05-18,"",,2026-08-31,,NA,,,,,,,,,,"",
10017284524,ROH,Y,"22141469492",BOXNHL,SECR,,RYD,CSLFD,CSLRH,,2026-04-10 02:31:21.418,,,YARD_UNFIT,,,,,,,,,,,,,2026-04-10 02:31:21.418,,,1492092,,,,,"7989290765",2026-04-10 02:31:21.418,,,BSLRH,2024-03-16,JHSW,2024-10-13,2029-05-31,,NA,,,,,,,,,,"",{}
10016459521,ROH,"3","22151176526",BOXNHL,SWR,,HPCTYD,JTJFD,JTJRH,,2026-01-16 00:00:00.000,,2026-01-16 00:00:00.000,YARD_UNFIT,,,,,,,,,,,,,2026-01-17 13:22:28.632,E,,1516239,K,BOOKED ROH,,,"9527152731",2026-01-17 13:22:28.632,,,BSLRH,2024-05-27,JMPW,2022-09-29,2027-05-31,,NA,,,,,,,,,,"",
10014612800,ROH,Y,"30018805830",BCNM1,CR,,BSL,BSLFD,BSLRH,,2025-06-25 12:56:34.880,,,YARD_UNFIT,,,,,,,,,,,,,2025-06-25 12:56:34.880,,,1723453,,,,,"9096071453",2025-06-25 12:56:34.880,,,UMBFD,2021-08-20,JUDW,2023-12-26,2028-04-01,,WEB,,,,,,,,,,"",
10017285465,ROH,Y,"30069861922",BCNAM1,SR,,MLDT,NHFD,NHRH,,2026-04-10 05:17:20.192,,,YARD_UNFIT,,,,,,,,,,,,,2026-04-10 05:17:20.192,,,1821753,,,,,"9734053097",2026-04-10 05:17:20.192,,,JTJRH,2022-01-13,IZNW,2024-03-04,2030-04-30,,NA,,,,,,,,,,"",{}
10017285464,ROH,Y,"31102422735",BCNAHSM1,ECR,,MLDT,NHFD,NHRH,,2026-04-10 05:17:20.192,,,YARD_UNFIT,,,,,,,,,,,,,2026-04-10 05:17:20.192,,,12552749,,,,,"9734053097",2026-04-10 05:17:20.192,,,"",,"",,2030-03-31,,NA,,,,,,,,,,"",{}
10015499393,ROH,Y,"87032410052",BVCM,NR,,EJC,NHFD,NHRH,,2025-10-08 23:06:57.729,,,YARD_UNFIT,,,,,,,,,,,,,2025-10-08 23:06:57.729,,,12573385,,,,,"9007751760",2025-10-08 23:06:57.729,,,"",,"",,2028-09-30,,NA,,,,,,,,,,"",
10016383651,ROH,Y,"30079171578",BCNM1,SER,,WDD/UDL,UDLFD,USLUDLRH,,2026-01-09 19:17:43.421,,,YARD_UNFIT,,,,,,,,,,,,,2026-01-09 19:17:43.421,,,1635738,,,,,"8638535844",2026-01-09 19:17:43.421,,,UMBRH,2023-06-23,JHSW,2021-06-19,2026-12-01,,NA,,,,,,,,,,"",
10016470554,ROH,Y,"87102410203",BVCM,ECR,,GHH,TKDFD,TKDRH,,2026-01-18 14:58:57.975,,,YARD_UNFIT,,,,,,,,,,,,,2026-01-18 14:58:57.975,,,13898256,,,,,"9599283433",2026-01-18 14:58:57.975,,,,,,,2029-01-31,,NA,,,,,,,,,,"",
10014698476,ROH,Y,"30039020960",BCNM1,NR,,WDD/UDL,UDLFD,USLUDLRH,,2025-07-06 23:31:56.863,,,YARD_UNFIT,,,,,,,,,,,,,2025-07-06 23:31:56.863,,,1720972,,,,,"8638535844",2025-07-06 23:31:56.863,,,NHRH,2023-06-11,JUDW,2021-07-17,2025-12-31,,WEB,,,,,,,,,,"",
10017335752,ROH,Y,"22101383745",BOXNHL,ECR,,WDD/UDL,UDLBOXNFD,UDLRH,,2026-04-15 13:19:34.010,,,YARD_UNFIT,,,,,,,,,,,,,2026-04-15 13:19:34.010,,,1615487,,,,,"9875471968",2026-04-15 13:19:34.010,,,BIAPPSL,2023-02-09,JMPW,2024-02-29,2028-10-31,,NA,,,,,,,,,,"",{}
10017335753,ROH,Y,"22101622608",BOXNHL,ECR,,WDD/UDL,UDLBOXNFD,UDLRH,,2026-04-15 13:19:34.010,,,YARD_UNFIT,,,,,,,,,,,,,2026-04-15 13:19:34.010,,,1395266,,,,,"9875471968",2026-04-15 13:19:34.010,,,UDLRH,2024-03-25,PRTW,2022-09-28,2027-05-31,,NA,,,,,,,,,,"",{}
10005276965,ROH,Y,"85019260102",BVZC,CR,,BAD,JHSFD,JHSRH,,2022-01-09 15:00:00.000,,,YARD_UNFIT,,,,,,,,,,,,,2022-12-01 13:04:36.000,,,1937819,,,,,"9760536430",2022-01-09 15:02:53.000,,,"",,JUDW,2020-02-26,2022-04-01,,NA,"7827425958",,,,,,,,,"",
10017336010,ROH,Y,"40040071158",BTPN,NER,,KRCA,KRCAFD,KRCARH,,2026-04-15 14:22:48.737,,,YARD_UNFIT,,,,,,,,,,,,,2026-04-15 14:22:48.737,,,1571884,,,,,"9724091475",2026-04-15 14:22:48.737,,,NJPRH,2023-04-29,KOTAW,2024-10-19,2030-11-30,,NA,,,,,,,,,,"",{}
10017347780,ROH,Y,"12130527746",BOXNR,NCR,,DSEY,UDLBOXNFD,UDLRH,,2026-04-16 17:52:24.008,,,YARD_UNFIT,,,,,,,,,,,,,2026-04-16 17:52:24.008,,,1585236,,,,,"8927123443",2026-04-16 17:52:24.008,,,NJPRH,2024-10-28,KGPW,2021-12-22,2026-07-31,,NA,,,,,,,,,,"",{}
10014614848,ROH,Y,"56100868965",BRNAHS,ECR,,PAU,PAUFD,PAUSL,,2025-06-25 17:53:44.452,,,YARD_UNFIT,,,,,,,,,,,,,2025-06-25 17:53:44.452,,,1698634,,,,,"9561012125",2025-06-25 17:53:44.452,,,GYRH,2022-12-30,JUDW,2020-01-17,2024-08-31,,NA,,,,,,,,,,"",
10017337878,ROH,Y,"30019660964",BCNAM1,CR,,KRCA,KRCAFD,KRCARH,,2026-04-15 17:47:37.135,,,YARD_UNFIT,,,,,,,,,,,,,2026-04-15 17:47:37.135,,,1985448,,,,,"9724091475",2026-04-15 17:47:37.135,,,DDRH,2024-04-20,NBQW,2022-03-31,2028-05-31,,NA,,,,,,,,,,"",{}
10017337877,ROH,Y,"30099764798",BCNAM1,SCR,,KRCA,KRCAFD,KRCARH,,2026-04-15 17:47:37.135,,,YARD_UNFIT,,,,,,,,,,,,,2026-04-15 17:47:37.135,,,2002001,,,,,"9724091475",2026-04-15 17:47:37.135,,,JTJRH,2024-04-22,IZNW,2022-03-15,2028-04-30,,NA,,,,,,,,,,"",{}
