mavsttnalfacode,mavdvsncode,mavsrvgsttnalfacode
PSBP,ASN,
BKGS,MLDT,
BKIR,MLDT,
BKMT,MLDT,
PILD,BRC,
AMI,BSL,
PRTP,DLI,
SMKR,BSB,
AYS,TSK,
DLGS,TSK,
KMS,DDU,
KHS,BSP,
BUS,JHS,
KPLL,BZA,
DHI,BSL,
BDI,BSL,
PRNG,RTM,
KTLI,LMG,
RNW,JP,
PEW,MAS,
DKQ,KOTA,
PUG,MDU,
UMG,TPJ,
ADB,NED,
ARN,SBP,
BLNH,MYS,
BHAE,HWH,
CHM,BCT,
CATD,R,
DWRK,LJN,
DYG,APDJ,
HVD,ADI,
IAA,BSB,
JSM,JU,
KKGT,LMG,
QMRS,JP,
KDSB,FZR,
RCPD,,
KURN,DLI,
KUDL,RN,
BDYK,JP,
BLTR,BSB,
SBPD,SBP,
MPU,BZA,
BMF,NED,
KGM,IZN,
MTM,BZA,
RXM,PRYJ,
SMLA,BRC,
JTTN,TSK,
DGO,DDU,
MDLA,DLI,
BGDS,SPJ,
NJB,KIR,
DLO,APDJ,
PNB,LMG,
GLGT,TSK,
SSU,BSB,
ARVI,NGP,
HEG,TSK,
BASA,BSL,
BRSA,LJN,
AXA,RJT,
BPA,SC,
HPA,MYS,
PLNI,MDU,
MLTR,PGT,
DLMH,KUR,
VWG,LKO,
GOY,PRYJ,
TZTB,RNY,
BTA,DNR,
SPTR,RNY,
HTA,KIR,
DCA,LMG,
CGA,KGP,
DHNR,NED,
VJF,ADI,
PLPM,PGT,
DMV,LMG,
KVU,TVC,
DNU,SBC,
KDNL,MDU,
SULH,FZR,
LDR,MB,
GNU,DLI,
KAU,KIR,
DIU,LMG,
BEU,LJN,
SRMR,GNT,
CVU,BZA,
VPZ,PGT,
PGZ,TVC,
STZ,BSB,
DGPP,NED,
JLBR,KGP,
VB,MAS,
TO,MAS,
MO,SUR,
RW,BCT,
GNC,ADI,
DNC,GTL,
PRPI,SC,
KDJ,IZN,
NDJ,BSB,
NOMD,CKP,
PO,TPJ,
SW,IZN,
DIC,BCT,
JKDP,KUR,
ANC,MYS,
CRC,JHS,
SPBH,,
PS,BSL,
SLGE,UBL,
BEC,RTM,
JDI,BSP,
AMNR,TPJ,
PRF,LKO,
KM,UBL,
KEH,LKO,
SVH,SDAH,
UJH,IZN,
SWJ,RNY,
KH,MB,
KKJ,MB,
MIH,LKO,
JNH,LKO,
SBJ,UMB,
BARJ,UMB,
VRH,MB,
NM,MB,
KRKT,APDJ,
CHRU,IZN,
VVH,BB,
RAH,AGRA,
BOKE,RN,
LWJ,BB,
BYD,MYS,
DMD,PGT,
HDD,GTL,
KXK,MB,
SDLP,BKN,
DXK,AGRA,
ANND,BRC,
HTK,PUNE,
KLMJ,UMB,
VJP,BPL,
NIP,JP,
TVP,TVC,
KNP,UBL,
SAJH,KIR,
KLAD,PGT,
TTU,BZA,
MTU,GTL,
PTU,NED,
SMET,MYS,
TSKG,TSK,
DKRD,BB,
SRVX,KAWR,
TPU,IZN,
BSAR,BRC,
GRBL,WAT,
ULU,TPJ,
DEU,ADI,
AJU,NAG,
SVA,KOTA,
VAA,ADRA,
VVA,RJT,
RPGU,JHS,
MIA,AGRA,
VRA,TPJ,
LAA,ADI,
NPKM,MAS,
LRA,ADI,
KJA,LKO,
SAA,BSB,
KZA,BSB,
KEA,LJN,
SRA,SPJ,
CDMA,SPJ,
ZNA,DNR,
TIA,DNR,
JNA,DLI,
RAA,UMB,
BEF,BSP,
VGE,SA,
MLU,SBC,
BKIT,UBL,
JGKS,BSB,
CKYD,BSB,
SAH,BCT,
RVH,R,
SUNR,RJT,
VD,RJT,
WSJ,BVC,
POJ,NED,
BLC,NED,
NH,SDAH,
RWJ,KOTA,
KJH,MLDT,
SD,LJN,
RBJ,LJN,
OD,BRC,
DTC,LMG,
BBGN,TSK,
PIH,JU,
JU,JU,
JAW,LJN,
PDPL,SC,
NPJE,DHN,
KIW,KOTA,
SPK,TSK,
MGK,TVC,
PRND,TVC,
PLK,LJN,
BVW,FZR,
RPK,SC,
KNW,BSL,
OTK,TPJ,
MAND,TPJ,
ETK,PGT,
DCK,BVC,
AXK,JHS,
GNND,HWH,
LLBR,LMG,
YDLP,GTL,
NSCL,LMG,
KQI,LMG,
UMS,JU,
BKRL,BRC,
PYI,BKN,
SDS,BKN,
RHI,JU,
PQS,SDAH,
BZLE,HWH,
VDS,ASN,
RDS,FZR,
MQS,FZR,
BUQ,NAG,
LKJN,PRYJ,
KLSX,UMB,
SLW,LKO,
BAKT,SPJ,
MXW,CKP,
MKD,JBP,
ADQ,KIR,
WDHR,ADI,
GDQ,SC,
BQQ,JBP,
CHQ,BPL,
KMLI,ADI,
MQX,DHN,
NHX,IZN,
TUX,CKP,
PUX,NGP,
DBS,SBC,
TALL,DNR,
BBI,ASN,
DKI,BPL,
BTDR,LMG,
DRR,SC,
BIR,BPL,
CKLT,MB,
VNCW,WAT,
MAP,SA,
PRP,DHN,
SEP,SDAH,
TRP,BRC,
PAP,BZA,
ERC,JHS,
KB,LJN,
VAPI,BCT,
YS,GTL,
SO,MAS,
TKPL,KGP,
KTH,DHN,
GSPR,JBP,
WLH,PUNE,
PCH,UBL,
NPH,JHS,
BDKE,BSL,
KJRM,HWH,
GPSA,NAG,
BKPR,RNC,
SLH,R,
MXH,FZR,
BHGN,LMG,
TCH,MDU,
PNDR,BRC,
GIM,ADI,
DNM,KUR,
BZM,JHS,
KFX,NAG,
SKPR,NAG,
PDGN,SUR,
DWX,RTM,
KSPR,BRC,
GBX,RNC,
CKX,SC,
VHGN,SC,
LKPR,SDAH,
RGB,MB,
LGB,BKN,
ASLU,BKN,
KQW,JU,
HDW,IZN,
SHBC,HWH,
SSB,DLI,
VLU,TPJ,
BHNE,BCT,
BTKP,JHS,
PCU,BZA,
AAL,BSP,
BMCK,SBP,
CJL,UMB,
GSGJ,MB,
TLKH,LKO,
JPQ,HWH,
KLQ,MDU,
