wagon_number,wagon_type,Current_wagon_location,workdepot,wagon_var,cost
10039672635,BOXNM1,OTPS,OBRFD,10039672635_BOXNM1_OTPS,1
10068960260,MBOXN,BNE,ETFD,10068960260_MBOXN_BNE,3
10070660202,BOXNM1,TPT,JTJFD,10070660202_BOXNM1_TPT,1
10079250497,BOXNM1,CLX,NLPDFD,10079250497_BOXNM1_CLX,4
10079666021,BOXNM1,MSCA,BPAFD,10079666021_BOXNM1_MSCA,2
10079768985,BOXNM1,TPT,JTJFD,10079768985_BOXNM1_TPT,1
10079961959,BOXNM1,SCRM,BPAFD,10079961959_BOXNM1_SCRM,2
10080160037,BOXNM1,MSCA,BPAFD,10080160037_BOXNM1_MSCA,2
10089700111,BOXNM1,OTPS,OBRFD,10089700111_BOXNM1_OTPS,1
12070847782,BOXNRHS,GIN,HPTFD,12070847782_BOXNRHS_GIN,1
12120431152,BOXNRHS,GIN,HPTFD,12120431152_BOXNRHS_GIN,1
14160652917,BOXNLW,KGP,NMPFD,14160652917_BOXNLW_KGP,1
21011810396,BOSTHSM2,WFD,SGWFFD,21011810396_BOSTHSM2_WFD,1
21110975989,BOSTHSM1,KPPR,JTJFD,21110975989_BOSTHSM1_KPPR,1
21140913371,BOSTHSM2,KPPR,JTJFD,21140913371_BOSTHSM2_KPPR,1
21151167893,BOSTHSM1,KPPR,JTJFD,21151167893_BOSTHSM1_KPPR,1
22072214123,BOXNHL25T,PKR,BMYREPFD,22072214123_BOXNHL25T_PKR,23.17131365
22122211140,BOXNHL25T,BCSK,BMYREPFD,22122211140_BOXNHL25T_BCSK,23.17131365
22122211720,BOXNHL,OEC,BMYREPFD,22122211720_BOXNHL_OEC,23.17131365
22131362079,BOXNHL,TPT,JTJFD,22131362079_BOXNHL_TPT,1
25099561584,BOXNRHS,BSDC,PTRUFD,25099561584_BOXNRHS_BSDC,1
30019460069,BCNAM1,KKQ,NMPFD,30019460069_BCNAM1_KKQ,1
30019960910,BCNAM1,KKQ,NMPFD,30019960910_BCNAM1_KKQ,1
30039860849,BCNAM1,IOSM,MNGTFD,30039860849_BCNAM1_IOSM,1
30039860917,BCNAM1,JUH,ETFD,30039860917_BCNAM1_JUH,1
30039961294,BCNAM1,IOSM,MNGTFD,30039961294_BCNAM1_IOSM,1
30069660198,BCNAM1,PICN,NVUFD,30069660198_BCNAM1_PICN,1
30069764735,BCNAM1,KGP,NMPFD,30069764735_BCNAM1_KGP,1
30099761674,BCNAM1,PICN,NVUFD,30099761674_BCNAM1_PICN,1
30099764507,BCNAM1,SNAG,SNFFD,30099764507_BCNAM1_SNAG,1
31022111092,BCNAHSM1,CFS,SNFFD,31022111092_BCNAHSM1_CFS,1
31101910929,BCNAHSM1,SNAG,SNFFD,31101910929_BCNAHSM1_SNAG,1
31101911704,BCNAHSM1,ZCS,VENFD,31101911704_BCNAHSM1_ZCS,3
31110419833,BCNAHSM1,RJPS,AQICDFD,31110419833_BCNAHSM1_RJPS,23.17131365
31140554894,BCNAHSM1,UBL,NVUFD,31140554894_BCNAHSM1_UBL,1
31160423798,BCNAHSM1,NBQY,NBQFD,31160423798_BCNAHSM1_NBQY,1
33121192712,BCNHL,KKQ,NMPFD,33121192712_BCNHL_KKQ,1
40028956484,BTPN,ALB,HAPAFD,40028956484_BTPN_ALB,1
40061910214,BTPN,ALB,HAPAFD,40061910214_BTPN_ALB,1
40089760624,BTPN,JAT,ERMGFD,40089760624_BTPN_JAT,23.17131365
54252113117,BLCSB,ICMB,MBFD,54252113117_BLCSB_ICMB,1
54252114220,BLCSB,ICMB,MBFD,54252114220_BLCSB_ICMB,1
54252114466,BLCSB,ICMB,MBFD,54252114466_BLCSB_ICMB,1
55070061758,BRNA,KGP,NMPFD,55070061758_BRNA_KGP,1
55070063677,BRNA,KGP,NMPFD,55070063677_BRNA_KGP,1
55090077272,BRNA,RMU,MBFD,55090077272_BRNA_RMU,3
56070510475,BRNAHS,RMU,MBFD,56070510475_BRNAHS_RMU,3
56140449971,BRNAHS,RMU,MBFD,56140449971_BRNAHS_RMU,3
56160872834,BRNAHS,KFPR,MBFD,56160872834_BRNAHS_KFPR,3
70029060163,BOBYNM1,BQP,BMYREPFD,70029060163_BOBYNM1_BQP,23.17131365
86100856129,BVZI,AMG,LKOFD,86100856129_BVZI_AMG,1
86100956058,BVZI,BRPN,NBQFD,86100956058_BVZI_BRPN,1
86100993916,BVZI,KGP,NMPFD,86100993916_BVZI_KGP,1
86160476404,BVZI,TPJ,TPGYFD,86160476404_BVZI_TPJ,1
86160976096,BVZI,KJGY,SREFD,86160976096_BVZI_KJGY,1
87012010395,BVCM,MYS,MNGTFD,87012010395_BVCM_MYS,1
87122213150,BVCM,SGBJ,ETFD,87122213150_BVCM_SGBJ,1
94031810882,BRN22.9,NPTY,NMPFD,94031810882_BRN22.9_NPTY,1
94122212342,BRN22.9M1,KGP,NMPFD,94122212342_BRN22.9M1_KGP,1
94141351923,BRN22.9,KKQ,NMPFD,94141351923_BRN22.9_KKQ,1
