"org_slno","org_code","org_type","gis_coord","station_name"
HAPARH,HAPA (Hapa) ROH,RH,"(70.0597836,22.4537672)",HAPA
EDRH,ED-ROH,RH,"(80.2586624,13.0842624)",ED
HRRRH,HRR-RH,RH,"(75.811608,14.515828)",HRR
TPGYRH,TPGY (Tiruchchirappal) ROH,RH,"(78.1197754,9.9252007)",TPGY
TKDRH,TKD (Tuglakabad) ROH,RH,"(77.29699139,28.503685)",TKD
TATARH,TATA (Tatanagar) ROH,RH,"(86.2149994,22.7649311)",TATA
NJPRH,NJP (New Jalpaiguri) ROH,RH,"(87.4171882,25.6118209)",NJP
BMYRH,BMY (Bhilai Marshling) ROH,RH,"(81.470862,21.222867)",BMY
BIAPPSL,BIA (PP)-Bhilai SL/ROH,RH,"(81.4167834,21.1905087)",BIA
KJGYRH,KJGY (Khanalampura) ROH,RH,"(77.545366,29.9561851)",KJGY
OECRH,OEC (Visahkapatanam) ROH,RH,"(80.625664,16.5249024)",VSKP
STARH,STA (Satna) ROH,RH,"(79.9473664,23.166976)",STA
UDLRH,UDL (Andal) ROH,RH,"(87.201253,23.566446)",UDL
MGSDRYRH,DDU (MGS) ROH,RH,"(83.1494088,25.2960849)",DDU
UMBRH,UMB (Ambala) ROH,RH,"(76.8275872,30.3379591)",UMB
GYRH,GY (Gooty) ROH,RH,"(77.6291755,15.1494024)",GY
DDRH,DD (Daund) ROH,RH,"(74.5796948,18.4642332)",DD
RMUYRH,RMUY (Visahkapatanam) ROH,RH,"(83.204165,17.624138)",DVD
TNPMRH,TNPM (Tondiarpet) ROH,RH,"(80.2497307,13.1285417)",TNPM
ETRH,ET (Itarsi) ROH,RH,"(77.7242836,22.5930201)",ET
BNDMCSLRH,BNDM CSL- (Bandamunda) ROH,RH,"(84.9348456,22.2381276)",BNDM
SMPRH,SMP (Sambhupura) ROH,RH,"(72.82688,18.939904)",SMP
BIAEXYDRH,BIA (ExYd)-Bhilai ROH,RH,"(81.434463,21.206632)",BIA
ADTPRH,ADTP (Adityapur) ROH,RH,"(86.16088860759669,22.78370172941989)",ADTP
GIMRH,GIM (Gandhidham) ROH,RH,"(70.152869,23.075923)",GIMB
BKSCEMPRH,BKSC (EmpYd)-Bokaro ROH,RH,"(86.0749824,23.6879872)",BKSC
BZARH,BZA (Vijayawada) ROH,RH,"(80.6185092,16.5312452)",BZA
MBRH,MB (Moradabad) ROH,RH,"(78.7589783,28.8372117)",MB
PRDPRH,PRDP (Paradeep) ROH,RH,"(86.62473,20.279691)",PRDP
BSPRH,BSP (Bilaspur) ROH,RH,"(80.8903523,26.8236904)",BSP
USLUDLRH,USL-UDL (Andal-USL) ROH,RH,"(87.201534,23.568685)",UDL
SGWFRH,SGWF (Whitefield Satellite Goods Terminal) ROH,RH,"(77.7385914,12.9982854)",SGWF
SNFRH,SNF (Sanatnagar) ROH,RH,"(78.4662528,17.416192)",SNF
NVURH,NVU (Navalur) ROH,RH,"(78.5186816,17.4391296)",NVU
NMPRH,NMP (Nimpura) ROH,RH,"(87.280729,22.332735)",NMP
NHRH,NH (Naihati) ROH,RH,"(88.4101644,22.8730743)",NH
BRCYRH,BRCY (Baroda) ROH,RH,"(73.173497,22.3317071)",BRCY
DPSRH,DPS-RH,RH,"(85.59267638453473,22.167448118370125)",DPS
GDRH,GD (Gonda) ROH,RH,"(81.9724288,27.148288)",GD
BPARH,BPA (Belampalli) ROH,RH,"(79.487294,19.0523753)",BPA
SRERH,SRE (Saharanpur) ROH,RH,"(77.5342335,29.9650381)",SRE
