"stn_code","stn_name","zone_code","division_code","latitude","longitude"
BIRD,BHIWANDI ROAD,CR,CSMT,"19.26849868","73.0465812"
MGTD,Meghpurtitodi                                               ,WR,RJT,"22.13978865","69.45708933"
TKD,Tugalakabad,NR,DLI,"28.503685","77.29699139"
PVN,Puvanur                                                     ,SR,TPJ,"11.60086317","79.31602233"
ARVI,Arvi,CR,NGP,"20.99281111","78.22326111"
MIPR,"M/S INDIAN PETRO CHEMICALS CORP. LTD SDG, RANOLI            ",WR,BRC,"22.401348","73.117104"
KUM,Kuram,CR,BSL,"20.80970206","77.59028873"
NKE,Narkatiaganj Jn.                                            ,ECR,SPJ,"27.104772","84.463476"
SKF,Sakhoti Tanda,NR,DLI,"29.19285333","77.71875"
STP,Sitapur Jn.,NER,LJN,"27.5589112","80.69792551"
WRR,Warora,CR,NGP,"20.245215","79.010395"
AFK,Angamali for Kaladi                                         ,SR,TVC,"10.18353083","76.37799667"
ABZ,Adgaon Buzurg                                               ,SCR,NED,"21.12775","76.943737"
BEU,Bisheshwarganj,NER,LJN,"27.34295949","81.83209595"
BXG,Bhanga,NFR,LMG,"24.85417167","92.479875"
ASBS,Amar Shahid Bhale Sultan,NR,LKO,"26.435303","81.695493"
SGKM,Srungavruksham,SCOR,BZA,"16.54341033","81.60162683"
NLDM,Nangal Dam                                                  ,NR,UMB,"31.37070667","76.37337333"
ACS,Ultratech Cement Siding-SHAMBHUPURA & CHITTORGARH                     ,WR,RTM,"24.771149","74.641628"
PTWA,Patwara,WCR,JBP,"23.91403056","80.41364444"
VNG,Visnagar                                                    ,WR,ADI,"23.70269352","72.54216981"
SEPR,Sherpur,NR,MB,"28.92271067","78.25398433"
MVN,Milavittan                                                  ,SR,MDU,"8.81122082","78.08851143"
RVJ,RAVLI JN                                         ,CR,CSTM,"19.02590011","72.86073937"
LKR,Luckeesarai Jn.                                             ,ECR,DNR,"25.17171983","86.0940175"
FM,Falaknuma,SCR,HYB,"17.33273333","78.47511111"
TRWT,Taravata,WCR,BPL,"24.737018","77.3789925"
MIN,Mihinpurwa,NER,LJN,"28.02692167","81.38516067"
AT,Asnoti                                                      ,KRCL,KAWR,"14.87626355","74.14771146"
ARR,Arariya,NFR,KIR,"26.13634","87.41194333"
TISI,Tisi                                                        ,WR,BCT,"21.3831375","74.36862433"
DML,Dharamtul,NFR,LMG,"26.1877311","92.36411984"
MLG,Malhargarh                                                  ,WR,RTM,"24.26638222","74.97351781"
NLE,Nileshwar                                                   ,SR,PGT,"12.25629167","75.135476"
RDU,Radhamohanpur                                               ,SER,KGP,"22.356829","87.61348133"
RGH,Ramgarhwa F                                                 ,ECR,SPJ,"26.873888","84.797647"
