ROH Depot,Rake ID,Number of Wagons,Overdue Days,Current Station,Next Station,Last Updated
NKJRH,BSL 160326222943,6,1,NKJ,BSPR,2026-06-01 11:58:00
NKJRH,BZA 240825205023,3,0,NKJ,BSPR,2026-06-02 07:10:00
NKJRH,BKDC220426065505,3,0,NKJ,NKJ,2026-06-01 19:10:00
NKJRH,BSL 190126084649,2,92,NKJ,BSPR,2026-03-02 10:40:00
NKJRH,DSPY011125072026,2,60,AGD,GMO,2026-04-02 09:16:00
NKJRH,DDU 060426081231,2,26,AJH,DDU,2026-05-05 15:53:00
NKJRH,BLEY240426163726,2,5,NKJ,BSPR,2026-05-28 13:25:00
NKJRH,NKJ 250326144600,2,4,NKJ,GMO,2026-05-29 13:30:00
NKJRH,BSL 160226185506,2,0,NKJ,NKJ,2026-06-02 00:50:00
NKJRH,BJE 170725222055,1,92,NKJ,DDU,2026-03-02 01:20:00
NKJRH,BZA 301025014936,1,63,NKJ,GMO,2026-03-31 07:57:00
NKJRH,BKEY 200126224112,1,63,NKJ,GMO,2026-03-31 05:32:00
NKJRH,BNDM260226171522,1,60,NKJ,NKJ,2026-04-03 12:45:00
NKJRH,BZA 260326095921,1,56,JBP,BSPR,2026-04-06 19:05:00
NKJRH,NKJ 080426030603,1,55,NKJ,BSPR,2026-04-07 21:30:00
NKJRH,KTTY290326142802,1,47,NSZ,BSPR,2026-04-15 20:20:00
NKJRH,NKJ 170426031917,1,46,NKJ,BSPR,2026-04-16 23:06:00
NKJRH,PKR 290326212942,1,37,RKM,GMO,2026-04-24 19:02:00
NKJRH,NKJ 270426145531,1,36,NKJ,SMP,2026-04-27 12:34:00
NKJRH,UDLU251024225735,1,33,NKJ,BSPR,2026-04-30 05:42:00
NKJRH,BLEY130326041904,1,30,KMZ,GMO,2026-05-03 05:25:00
NKJRH,BZA 070226063318,1,29,NKJ,BSPR,2026-05-04 07:05:00
NKJRH,BNDM060426114431,1,28,NKJ,DDU,2026-05-05 21:30:00
NKJRH,BLEY200226212304,1,27,HDU,BSPR,2026-05-06 12:45:00
NKJRH,BLEY230426111337,1,27,NKJ,BSPR,2026-05-05 17:10:00
NKJRH,BLEY221025162740,1,25,NKJ,GMO,2026-05-08 04:45:00
NKJRH,NKJ 251121141234,1,25,NKJ,BRKA,2026-05-07 19:30:00
NKJRH,DDU 140326111451,1,20,NKJ,DDU,2026-05-13 02:54:00
NKJRH,BZA 020126010002,1,20,NKJ,BSPR,2026-05-12 23:26:00
NKJRH,DSPY181225093427,1,18,NKJ,BSPR,2026-05-15 07:50:00
NKJRH,DSPY171125140641,1,16,NKJ,DDU,2026-05-17 08:31:00
NKJRH,DDU 300625041657,1,16,NKJ,BSPR,2026-05-16 21:16:00
NKJRH,BZA 050925185302,1,15,NKJ,DDU,2026-05-18 05:04:00
NKJRH,NKJ 190526010119,1,14,DTV,GP,2026-05-22 20:30:00
NKJRH,DDU 120426150943,1,14,NKJ,GMO,2026-05-19 03:58:00
NKJRH,BZA 240925230540,1,12,NKJ,BRKA,2026-05-20 23:58:00
NKJRH,BLEY150326205748,1,12,NKJ,BSPR,2026-05-20 22:51:00
NKJRH,DDU 090426043742,1,12,DAA,BRKA,2026-05-20 06:56:00
NKJRH,PKR 181025075536,1,11,NKJ,BSPR,2026-05-22 05:48:00
NKJRH,EMTY120526114454,1,8,NKJ,GMO,2026-05-24 23:35:00
NKJRH,BSL 250326103430,1,5,NKJ,NKJ,2026-05-28 12:45:00
NKJRH,BLEY251125102831,1,5,VGLJ,NKJ,2026-05-26 14:56:00
NKJRH,BLEY200326174008,1,4,SAGM,GMO,2026-05-29 07:33:00
NKJRH,EMTY211125014741,1,4,NKJ,DDU,2026-05-29 02:12:00
NKJRH,UDLU140426045114,1,3,NKJ,BSPR,2026-05-30 09:29:00
NKJRH,NKJ 300526104014,1,3,BMR,BSPR,2026-05-30 00:07:00
NKJRH,HPT 150925164535,1,3,NKJ,GMO,2026-05-29 23:46:00
NKJRH,BJE 021225093256,1,3,MUGA,BSPR,2026-05-29 00:56:00
NKJRH,BMDY281125164618,1,3,DYDY,DYDY,2026-05-13 17:10:00
NKJRH,NKJ 120326021743,1,2,NKJ,GMO,2026-05-31 06:55:00
NKJRH,NKJ 310526022258,1,2,NKJ,DDU,2026-05-31 00:57:00
NKJRH,DSEY080326113102,1,2,HSPG,HSPG,2026-02-17 09:20:00
NKJRH,BJE 251025021852,1,1,NKJ,BSPR,2026-06-01 08:30:00
NKJRH,BSL 140226141055,1,0,NKJ,GMO,2026-06-02 05:34:00
NKJRH,DSPY010526174745,1,0,MDVK,BSPR,2026-05-31 18:58:00
